descrip,seriesID,date,cpi-value
Housing,CUURA316SAH,January-2005,167.7
Housing,CUURA316SAH,March-2005,166.3
Housing,CUURA316SAH,May-2005,168.1
Housing,CUURA316SAH,July-2005,171.2
Housing,CUURA316SAH,September-2005,172.4
Housing,CUURA316SAH,November-2005,175.2
Housing,CUURA316SAH,January-2006,175.7
Housing,CUURA316SAH,March-2006,173.5
Housing,CUURA316SAH,May-2006,173.9
Housing,CUURA316SAH,July-2006,175.5
Housing,CUURA316SAH,September-2006,176.1
Housing,CUURA316SAH,November-2006,173.3
Housing,CUURA316SAH,January-2007,172.929
Housing,CUURA316SAH,March-2007,174.101
Housing,CUURA316SAH,May-2007,174.899
Housing,CUURA316SAH,July-2007,178.588
Housing,CUURA316SAH,September-2007,178.291
Housing,CUURA316SAH,November-2007,176.563
Housing,CUURA316SAH,January-2008,177.469
Housing,CUURA316SAH,March-2008,177.992
Housing,CUURA316SAH,May-2008,181.626
Housing,CUURA316SAH,July-2008,185.800
Housing,CUURA316SAH,September-2008,186.698
Housing,CUURA316SAH,November-2008,185.732
Housing,CUURA316SAH,January-2009,185.444
Housing,CUURA316SAH,March-2009,184.339
Housing,CUURA316SAH,May-2009,182.467
Housing,CUURA316SAH,July-2009,182.895
Housing,CUURA316SAH,September-2009,182.336
Housing,CUURA316SAH,November-2009,180.436
Housing,CUURA316SAH,January-2010,180.119
Housing,CUURA316SAH,March-2010,178.767
Housing,CUURA316SAH,May-2010,178.694
Housing,CUURA316SAH,July-2010,179.231
Housing,CUURA316SAH,September-2010,179.090
Housing,CUURA316SAH,November-2010,177.027
Housing,CUURA316SAH,January-2011,177.624
Housing,CUURA316SAH,March-2011,178.929
Housing,CUURA316SAH,May-2011,180.047
Housing,CUURA316SAH,July-2011,181.514
Housing,CUURA316SAH,September-2011,182.468
Housing,CUURA316SAH,November-2011,182.221
Housing,CUURA316SAH,January-2012,181.796
Housing,CUURA316SAH,March-2012,182.582
Housing,CUURA316SAH,May-2012,183.075
Housing,CUURA316SAH,July-2012,185.272
Housing,CUURA316SAH,September-2012,185.735
Housing,CUURA316SAH,November-2012,186.885
Housing,CUURA316SAH,January-2013,188.398
Housing,CUURA316SAH,March-2013,188.472
Housing,CUURA316SAH,May-2013,188.881
Housing,CUURA316SAH,July-2013,189.249
Housing,CUURA316SAH,September-2013,190.639
Housing,CUURA316SAH,November-2013,190.126
Housing,CUURA316SAH,January-2014,190.357
Housing,CUURA316SAH,March-2014,193.353
Housing,CUURA316SAH,May-2014,194.563
Housing,CUURA316SAH,July-2014,196.035
Housing,CUURA316SAH,September-2014,195.923
Housing,CUURA316SAH,November-2014,195.129
Housing,CUURA316SAH,January-2015,196.475
Housing,CUURA316SAH,March-2015,197.523
Medical,CUURA316SAM,February-1982,89.2
Medical,CUURA316SAM,April-1982,90.3
Medical,CUURA316SAM,June-1982,91.6
Medical,CUURA316SAM,August-1982,92.2
Medical,CUURA316SAM,October-1982,94.2
Medical,CUURA316SAM,December-1982,96.0
Medical,CUURA316SAM,February-1983,98.8
Medical,CUURA316SAM,April-1983,100.9
Medical,CUURA316SAM,June-1983,100.8
Medical,CUURA316SAM,August-1983,102.3
Medical,CUURA316SAM,October-1983,102.3
Medical,CUURA316SAM,December-1983,104.1
